category,delivery_time,name,no_of_reviews,price,rating
/home,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Flower Pattern Big Oval Shape Name Plate,"(None,)","Rs. 1,649.00","(None,)"
/home,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Cartoon Style Couple Theme Nameplate, No reviews ,"(None,)",Average rating is 0.00 stars
/home,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Floral Name Plate,"(None,)","Rs. 1,499.00","(None,)"
/home,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Couple Theme Name Plate, 2 reviews ,"Rs. 1,449.00",Average rating is 5.00 stars
/home,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Classic Oval Shape Name Plate, 2 reviews ,"Rs. 1,499.00",Average rating is 5.00 stars
/home,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Caricature Style Couple Circular Name Plate | COD Not Available, 2 reviews ,"Rs. 2,999.00",Average rating is 5.00 stars
/home,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",LED Glow Lamp | Shiva, 1 review ,"Rs. 1,499.00",Average rating is 5.00 stars
/home,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Sleek Couple 3D Name Plate, 2 reviews ,"Rs. 1,599.00",Average rating is 5.00 stars
/home,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Couple with kids name plate, 5 reviews ,"Rs. 1,799.00",Average rating is 5.00 stars
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Kids Room Dinosaur Wall Art,"(None,)","Rs. 899.00 – Rs. 4,399.00","(None,)"
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Kids Circular 3D Name Plate,"(None,)","Rs. 1,799.00","(None,)"
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Caricature Style Kids Room Name Plate | COD Not Available,"(None,)","Rs. 2,999.00 – Rs. 3,899.00","(None,)"
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Fridge Magnets | Liverpool,"(None,)",Rs. 299.00,"(None,)"
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Birthday | Born Under These Stars,"(None,)","Rs. 1,499.00 – Rs. 2,199.00","(None,)"
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Kids Circular 3D Hogwarts Name Plate with Lights, No reviews ,"Rs. 1,799.00",Average rating is 0.00 stars
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",3D Spiderman Circular Name Plate, No reviews ,"Rs. 1,599.00",Average rating is 0.00 stars
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",3D Unicorn Circular Name Plate, No reviews ,"Rs. 1,599.00",Average rating is 0.00 stars
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",3D Astro Circular Name Plate, No reviews ,"Rs. 1,599.00",Average rating is 0.00 stars
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Princess 3D Name Plate, No reviews ,"Rs. 1,499.00",Average rating is 0.00 stars
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised |  Best Sis | Photo Frame Fridge Magnets,"(None,)",Rs. 499.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised |  Best Sister | Photo Frame Fridge Magnets,"(None,)",Rs. 499.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Wooden Medal | Best Sister Ever,"(None,)",Rs. 799.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Best Sister,"(None,)","Rs. 699.00 – Rs. 2,099.00","(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Best Sister Ever,"(None,)","Rs. 699.00 – Rs. 2,099.00","(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Best Sister Ever Wooden Postcard,"(None,)",Rs. 799.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | New Year Theme Wooden Notebook Binder | COD Not Available,"(None,)",Rs. 899.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Astronaut Theme Wooden Notebook Binder | COD Not Available,"(None,)",Rs. 899.00,"(None,)"
/mothers-day,"(None,)",Handcrafted Chopping Board,"(None,)",Rs. 999.00,"(None,)"
/mothers-day,"(None,)",Wooden Bowls | Set of 3,"(None,)","Rs. 1,499.00","(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Mother Daughter | Star Map,"(None,)","Rs. 1,499.00 – Rs. 2,099.00","(None,)"
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Kids Circular Unicorn Theme 3D Name Plate,"(None,)","Rs. 1,799.00","(None,)"
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Kids Circular Astronaut Theme 3D Name Plate,"(None,)","Rs. 1,799.00","(None,)"
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised Heart 3D Name Wooden Fridge Magnets, 1 review ,Rs. 499.00,Average rating is 5.00 stars
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Led Glow Lamp | Radha Krishna Illusion, No reviews ,"Rs. 1,499.00",Average rating is 0.00 stars
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised Adorable Family Names Print with Frame,"(None,)","Rs. 1,299.00","(None,)"
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised  Unicorn With Name Fridge Magnets, No reviews ,"(None,)",Average rating is 0.00 stars
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Lion With Name Fridge Magnets,"(None,)",Rs. 399.00,"(None,)"
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Led Glow Lamp | Animated Radha krishna_, No reviews ,"Rs. 1,499.00",Average rating is 0.00 stars
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Soul Sister Wooden Notebook Binder | COD Not Available,"(None,)",Rs. 899.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Craziest Sister Wooden Notebook Binder | COD Not Available,"(None,)",Rs. 899.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Best Sister Wooden Notebook Binder | COD Not Available,"(None,)",Rs. 899.00,"(None,)"
/gifts-for-sister,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",ChitraChaya's Special Portrait Caricature style | Single face | COD Not Available, 1 review ,"Rs. 2,099.00 – Rs. 2,799.00",Average rating is 5.00 stars
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Best Sister","(None,)",Rs. 349.00 – Rs. 599.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | World's Best Sister,"(None,)","Rs. 699.00 – Rs. 1,999.00","(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Sisters,"(None,)","Rs. 699.00 – Rs. 1,099.00","(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Best Mom Ever,"(None,)","Rs. 699.00 – Rs. 1,999.00","(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Best Momma Ever,"(None,)","Rs. 699.00 – Rs. 1,099.00","(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",I Love Mom Wooden Rose,"(None,)",Rs. 699.00,"(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Mother Est,"(None,)","Rs. 699.00 – Rs. 1,099.00","(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Best MOM,"(None,)","Rs. 699.00 – Rs. 1,499.00","(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised  | Always My Mother,"(None,)","Rs. 699.00 – Rs. 1,999.00","(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | I Love MoM,"(None,)","Rs. 699.00 – Rs. 1,999.00","(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalized Mom Photo Stand, No reviews ,Rs. 599.00,Average rating is 0.00 stars
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Pets Love,"(None,)","Rs. 699.00 – Rs. 1,099.00","(None,)"
/gifts-for-sister,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",ChitraChaya's Special POP Art style | Two face | COD Not Available, 2 reviews ,"Rs. 2,399.00 – Rs. 3,999.00",Average rating is 5.00 stars
/gifts-for-sister,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",ChitraChaya's Special POP Art style | Single face | COD Not Available, 6 reviews ,"Rs. 1,199.00 – Rs. 3,299.00",Average rating is 5.00 stars
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Pattern,"(None,)",Rs. 699.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Heart,"(None,)",Rs. 699.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Flamingo,"(None,)",Rs. 699.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Floral Wooden Notebook Binder | COD Not Available,"(None,)",Rs. 899.00,"(None,)"
/gifts-for-sister,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",ChitraChaya's Special Portrait Caricature style | Two face | COD Not Available,"(None,)","Rs. 3,099.00 – Rs. 4,199.00","(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised Comic Style Coasters| Set of 2,"(None,)",Rs. 799.00,"(None,)"
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | This Is Us, 1 review ,"Rs. 699.00 – Rs. 1,999.00",Average rating is 5.00 stars
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised Name Wooden KeyChain,"(None,)",Rs. 499.00,"(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Flower Shape Mother's Day Fridge Magnet, No reviews ,Rs. 599.00,Average rating is 0.00 stars
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Love You Mom Fridge Magnet, No reviews ,Rs. 599.00,Average rating is 0.00 stars
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Worlds Best Mom,"(None,)","Rs. 699.00 – Rs. 1,899.00","(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Mother's Day Arch Frame, 1 review ,Rs. 799.00,Average rating is 5.00 stars
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Heart MoM | Fridge Magnets,"(None,)",Rs. 599.00,"(None,)"
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | MoM | Fridge Magnets, 1 review ,Rs. 599.00,Average rating is 5.00 stars
/mothers-day,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Hut Style Name Plate, 1 review ,"Rs. 2,199.00",Average rating is 5.00 stars
/mothers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Mothers Day | Fridge Magnet, 2 reviews ,Rs. 499.00,Average rating is 5.00 stars
/mothers-day,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Caricature Cutouts with Stand | COD Not Available, 1 review ,"Rs. 1,599.00 – Rs. 3,599.00",Average rating is 4.00 stars
/gifts-for-sister,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4x4"" Circular Personalised Wooden Fridge Magnets","(None,)",Rs. 449.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Put Wine Here","(None,)",Rs. 399.00 – Rs. 749.00,"(None,)"
/mothers-day,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Caricature Face Fridge Magnets | COD Not Available, 3 reviews ,"Rs. 899.00 – Rs. 2,399.00",Average rating is 5.00 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Bayern Munich FC","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Idea Theme Wooden Notebook Binder | COD Not Available,"(None,)",Rs. 899.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Mohun Bagan Club","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",3 in 1 desk Orgainiser with Clock,"(None,)","Rs. 1,399.00","(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | East Bengal Club","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Hexagon Wooden Coasters | Set of 6 Super heroes,"(None,)",Rs. 999.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Real Madrid","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Liverpool","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | FCB","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Chelsea","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Real Madrid","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Chelsea","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Liverpool","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Manchester City","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | FCB","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Red Devils","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Manchester City","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Square Engraved,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Triangle Engraved,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Taurus,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Leo,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Pisces,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Scorpio,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder  | Capricorn,"(None,)",Rs. 699.00,"(None,)"
